,Pocket Cards,Pair,Suited,Connected,Win Pct1,Win Pct2,Win Pct3,Win Pct4,Win Pct5,Win Pct6,Win Pct7,Win Pct8
135,"[(7, 'Spade'), (11, 'Heart')]",False,False,False,52.0,31.0,24.0,21.0,15.0,20.0,15.0,10.0
136,"[(4, 'Diamond'), (6, 'Diamond')]",False,True,False,45.0,28.999999999999996,30.0,19.0,14.000000000000002,17.0,13.0,15.0
137,"[(7, 'Diamond'), (11, 'Club')]",False,False,False,55.00000000000001,40.0,22.0,16.0,19.0,15.0,15.0,9.0
138,"[(2, 'Diamond'), (13, 'Spade')]",False,False,False,47.0,38.0,25.0,15.0,16.0,11.0,14.000000000000002,12.0
139,"[(10, 'Spade'), (13, 'Diamond')]",False,False,False,76.0,35.0,37.0,31.0,27.0,25.0,18.0,22.0
140,"[(3, 'Spade'), (9, 'Club')]",False,False,False,47.0,31.0,26.0,14.000000000000002,12.0,12.0,3.0,12.0
141,"[(11, 'Diamond'), (13, 'Heart')]",False,False,False,60.0,39.0,42.0,20.0,23.0,22.0,22.0,15.0
142,"[(4, 'Heart'), (7, 'Club')]",False,False,False,41.0,26.0,14.000000000000002,13.0,13.0,6.0,4.0,8.0
143,"[(2, 'Spade'), (5, 'Club')]",False,False,False,43.0,31.0,16.0,9.0,13.0,13.0,15.0,8.0
144,"[(5, 'Heart'), (8, 'Diamond')]",False,False,False,51.0,18.0,20.0,21.0,10.0,12.0,8.0,11.0
145,"[(6, 'Diamond'), (13, 'Spade')]",False,False,False,54.0,40.0,30.0,18.0,21.0,13.0,12.0,14.000000000000002
146,"[(8, 'Spade'), (11, 'Heart')]",False,False,False,56.00000000000001,37.0,27.0,20.0,17.0,16.0,13.0,8.0
147,"[(2, 'Club'), (5, 'Heart')]",False,False,False,28.999999999999996,17.0,20.0,15.0,10.0,8.0,11.0,5.0
148,"[(3, 'Spade'), (10, 'Diamond')]",False,False,False,42.0,27.0,17.0,15.0,22.0,17.0,10.0,7.000000000000001
149,"[(3, 'Spade'), (14, 'Spade')]",False,True,False,66.0,46.0,28.999999999999996,23.0,24.0,23.0,22.0,18.0
150,"[(2, 'Diamond'), (8, 'Diamond')]",False,True,False,36.0,30.0,28.999999999999996,17.0,14.000000000000002,17.0,11.0,8.0
151,"[(11, 'Diamond'), (13, 'Club')]",False,False,False,67.0,44.0,37.0,34.0,27.0,24.0,15.0,17.0
152,"[(5, 'Diamond'), (10, 'Heart')]",False,False,False,48.0,33.0,21.0,15.0,9.0,13.0,13.0,9.0
153,"[(2, 'Spade'), (4, 'Diamond')]",False,False,False,42.0,30.0,23.0,17.0,14.000000000000002,11.0,14.000000000000002,11.0
154,"[(4, 'Spade'), (12, 'Heart')]",False,False,False,45.0,28.999999999999996,20.0,17.0,12.0,17.0,7.000000000000001,17.0
155,"[(5, 'Heart'), (11, 'Diamond')]",False,False,False,48.0,34.0,25.0,23.0,17.0,11.0,11.0,11.0
156,"[(11, 'Heart'), (14, 'Heart')]",False,True,False,67.0,40.0,36.0,35.0,31.0,26.0,20.0,22.0
157,"[(3, 'Club'), (10, 'Club')]",False,True,False,42.0,20.0,25.0,13.0,24.0,13.0,6.0,8.0
158,"[(2, 'Heart'), (9, 'Club')]",False,False,False,46.0,21.0,17.0,13.0,16.0,5.0,12.0,8.0
159,"[(9, 'Diamond'), (13, 'Club')]",False,False,False,66.0,43.0,33.0,27.0,20.0,15.0,21.0,12.0
160,"[(3, 'Diamond'), (4, 'Club')]",False,False,True,43.0,24.0,15.0,12.0,13.0,14.000000000000002,6.0,14.000000000000002
161,"[(7, 'Diamond'), (8, 'Heart')]",False,False,True,48.0,27.0,30.0,31.0,15.0,13.0,14.000000000000002,10.0
162,"[(4, 'Heart'), (10, 'Heart')]",False,True,False,51.0,32.0,24.0,16.0,21.0,19.0,18.0,20.0
163,"[(7, 'Heart'), (12, 'Heart')]",False,True,False,56.99999999999999,36.0,30.0,22.0,24.0,18.0,17.0,10.0
164,"[(5, 'Spade'), (12, 'Diamond')]",False,False,False,53.0,34.0,25.0,25.0,17.0,9.0,18.0,6.0
165,"[(2, 'Heart'), (5, 'Spade')]",False,False,False,30.0,23.0,16.0,11.0,6.0,16.0,7.000000000000001,4.0
166,"[(8, 'Spade'), (11, 'Diamond')]",False,False,False,57.99999999999999,28.000000000000004,17.0,28.000000000000004,21.0,14.000000000000002,15.0,15.0
167,"[(2, 'Heart'), (12, 'Club')]",False,False,False,55.00000000000001,33.0,19.0,22.0,10.0,9.0,11.0,9.0
168,"[(5, 'Club'), (14, 'Club')]",False,True,False,60.0,46.0,41.0,24.0,17.0,21.0,24.0,15.0
169,"[(8, 'Spade'), (12, 'Club')]",False,False,False,56.00000000000001,28.999999999999996,21.0,23.0,15.0,15.0,15.0,14.000000000000002
170,"[(4, 'Diamond'), (10, 'Heart')]",False,False,False,47.0,24.0,25.0,19.0,11.0,11.0,11.0,6.0
171,"[(2, 'Heart'), (8, 'Diamond')]",False,False,False,37.0,28.999999999999996,18.0,12.0,13.0,7.000000000000001,6.0,5.0
172,"[(4, 'Spade'), (6, 'Club')]",False,False,False,52.0,32.0,25.0,17.0,7.000000000000001,7.000000000000001,7.000000000000001,11.0
173,"[(2, 'Diamond'), (12, 'Diamond')]",False,True,False,54.0,38.0,27.0,22.0,18.0,14.000000000000002,17.0,11.0
174,"[(4, 'Club'), (10, 'Club')]",False,True,False,45.0,34.0,19.0,21.0,16.0,13.0,10.0,14.000000000000002
175,"[(4, 'Heart'), (5, 'Spade')]",False,False,True,45.0,28.999999999999996,15.0,20.0,17.0,15.0,17.0,10.0
176,"[(3, 'Diamond'), (9, 'Club')]",False,False,False,48.0,28.000000000000004,13.0,15.0,14.000000000000002,10.0,8.0,9.0
177,"[(4, 'Spade'), (14, 'Heart')]",False,False,False,59.0,39.0,43.0,18.0,32.0,21.0,10.0,16.0
178,"[(8, 'Heart'), (11, 'Club')]",False,False,False,63.0,38.0,26.0,21.0,20.0,17.0,14.000000000000002,10.0
179,"[(8, 'Club'), (10, 'Heart')]",False,False,False,51.0,33.0,30.0,17.0,25.0,16.0,14.000000000000002,11.0
180,"[(11, 'Club'), (12, 'Spade')]",False,False,True,62.0,39.0,34.0,30.0,23.0,19.0,21.0,16.0
181,"[(2, 'Club'), (4, 'Diamond')]",False,False,False,42.0,20.0,13.0,11.0,12.0,12.0,11.0,10.0
182,"[(3, 'Spade'), (4, 'Club')]",False,False,True,40.0,30.0,19.0,17.0,12.0,7.000000000000001,8.0,9.0
183,"[(8, 'Heart'), (13, 'Club')]",False,False,False,59.0,40.0,34.0,22.0,28.000000000000004,9.0,11.0,12.0
184,"[(2, 'Spade'), (4, 'Heart')]",False,False,False,36.0,25.0,19.0,12.0,21.0,7.000000000000001,5.0,8.0
185,"[(11, 'Diamond'), (14, 'Heart')]",False,False,False,73.0,54.0,42.0,32.0,28.999999999999996,20.0,19.0,21.0
186,"[(11, 'Spade'), (11, 'Heart')]",True,False,False,77.0,63.0,42.0,37.0,35.0,33.0,28.999999999999996,28.000000000000004
187,"[(3, 'Diamond'), (14, 'Heart')]",False,False,False,56.00000000000001,36.0,30.0,19.0,22.0,20.0,17.0,11.0
188,"[(4, 'Heart'), (8, 'Club')]",False,False,False,53.0,32.0,19.0,16.0,14.000000000000002,10.0,6.0,5.0
189,"[(10, 'Diamond'), (14, 'Spade')]",False,False,False,56.99999999999999,52.0,36.0,27.0,28.000000000000004,25.0,18.0,21.0
190,"[(2, 'Spade'), (9, 'Spade')]",False,True,False,40.0,27.0,35.0,16.0,16.0,14.000000000000002,17.0,11.0
191,"[(7, 'Heart'), (10, 'Club')]",False,False,False,53.0,33.0,30.0,26.0,19.0,21.0,9.0,14.000000000000002
192,"[(5, 'Spade'), (10, 'Club')]",False,False,False,50.0,28.000000000000004,28.000000000000004,11.0,12.0,15.0,10.0,8.0
193,"[(6, 'Heart'), (11, 'Club')]",False,False,False,54.0,30.0,15.0,16.0,15.0,9.0,12.0,9.0
194,"[(11, 'Diamond'), (14, 'Diamond')]",False,True,False,68.0,46.0,39.0,25.0,32.0,25.0,25.0,27.0
195,"[(4, 'Spade'), (9, 'Club')]",False,False,False,37.0,26.0,20.0,17.0,10.0,8.0,5.0,8.0
196,"[(13, 'Heart'), (14, 'Club')]",False,False,True,69.0,44.0,42.0,38.0,33.0,25.0,28.000000000000004,19.0
197,"[(3, 'Diamond'), (11, 'Diamond')]",False,True,False,55.00000000000001,30.0,38.0,17.0,15.0,14.000000000000002,13.0,11.0
198,"[(4, 'Heart'), (9, 'Heart')]",False,True,False,50.0,32.0,27.0,16.0,19.0,10.0,13.0,9.0
199,"[(5, 'Club'), (12, 'Diamond')]",False,False,False,50.0,23.0,21.0,19.0,20.0,13.0,13.0,9.0
200,"[(9, 'Diamond'), (12, 'Heart')]",False,False,False,59.0,42.0,30.0,19.0,20.0,30.0,17.0,16.0
201,"[(3, 'Heart'), (9, 'Heart')]",False,True,False,41.0,22.0,26.0,15.0,17.0,18.0,12.0,12.0
202,"[(4, 'Heart'), (8, 'Heart')]",False,True,False,48.0,27.0,17.0,22.0,22.0,11.0,16.0,9.0
203,"[(9, 'Diamond'), (11, 'Diamond')]",False,True,False,56.99999999999999,36.0,43.0,25.0,26.0,25.0,19.0,19.0
204,"[(8, 'Club'), (13, 'Spade')]",False,False,False,67.0,38.0,30.0,28.000000000000004,20.0,16.0,9.0,9.0
205,"[(6, 'Heart'), (9, 'Diamond')]",False,False,False,43.0,23.0,22.0,18.0,10.0,12.0,10.0,11.0
