pocket_cards,pair,suited,connected,win_pct1,win_pct2,win_pct3,win_pct4,win_pct5,win_pct6,win_pct7,win_pct8
Qs_Ah,FALSE,FALSE,FALSE,66,44.7,40.3,29.6,25.6,23.5,20.3,18.3
Qs_Ac,FALSE,FALSE,FALSE,65.7,47.1,40,32.7,28.4,24.1,20.2,18.5
6h_8c,FALSE,FALSE,FALSE,50.3,30.3,21.8,20.5,15,14.4,10.2,10.7
3d_Tc,FALSE,FALSE,FALSE,46.7,26.9,18.7,15.8,14.1,10.4,8.7,8.8
8h_Kd,FALSE,FALSE,FALSE,56.1,40.3,29.3,22.8,22.2,16.1,15.5,14.4
6c_7h,FALSE,FALSE,TRUE,46.2,32.7,22.7,19.3,16,13.4,12.6,10.2
7h_Js,FALSE,FALSE,FALSE,52.9,34.2,25,21,16.1,14.4,14.5,9.8
8d_8h,TRUE,FALSE,FALSE,69.8,51.5,39.5,28.7,25.7,21.2,20.4,18
Kd_Ac,FALSE,FALSE,TRUE,65.3,48.7,39.9,35.1,29.2,23.8,24.6,19.2
3d_Kd,FALSE,TRUE,FALSE,56.5,39.2,29.4,25.2,20.8,20.3,17.5,15.9
Qd_Kd,FALSE,TRUE,TRUE,64.5,48,36.2,32.4,30.2,27.5,24,19.8
8d_Jh,FALSE,FALSE,FALSE,54.2,36.7,27.4,22.2,21.3,16.6,13.4,12.5
2d_Th,FALSE,FALSE,FALSE,42.5,28.2,22.1,17.7,14.7,10.9,8.6,7.5
2s_6s,FALSE,TRUE,FALSE,43.4,26.7,21.5,16.5,13.8,12.9,12.4,10.8
9c_Kh,FALSE,FALSE,FALSE,56.6,38.6,31.2,26.7,20.7,19.1,16.5,12.8
Ks_Ac,FALSE,FALSE,TRUE,68.3,46.2,39.9,35.2,29.9,23.9,21,23.6
5h_As,FALSE,FALSE,FALSE,58.8,40.8,33.9,23.9,23.1,18.6,16.9,13.6
5h_6h,FALSE,TRUE,TRUE,49.4,34.1,25.6,19.8,18.8,17,15.8,17.5
9d_Qc,FALSE,FALSE,FALSE,57.4,41.2,30.1,26.5,21,15.4,13.8,14.8
2c_Qh,FALSE,FALSE,FALSE,49.3,31.4,20.6,18.3,14.2,12,10.5,9.5
2c_Kh,FALSE,FALSE,FALSE,52.2,35.1,25.2,20.2,16.3,13.9,12.8,11.4
2d_3h,FALSE,FALSE,TRUE,39.7,22.3,18,12.3,10.3,8.6,7.6,8.4
5s_Kc,FALSE,FALSE,FALSE,55.9,37.5,27.8,22.3,20.2,14.8,13.9,12.3
2h_4c,FALSE,FALSE,FALSE,40.5,22.5,17.6,13.1,13,8.9,8.9,8.8
